recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src,source,rcp_seq
팽이버섯 야채볶음,,볶기,,1,1인분,"팽이버섯 70g, 청경채 50g, 참기름 2g, 식용유 2g, 물전분 6g, 소금 적당량","1. 1. 팽이버섯은 밑동을 제거하고 4cm 길이로 자른다.
2. 2. 청경채는 겉잎을 떼어낸 뒤 반으로 가른 뒤 팽이버섯과 같은 길이로 자른다.
3. 3. 썰어 놓은 팽이버섯과 청경채를 끓는 물에 데친다.
4. 4. 기름을 두른 팬에 팽이버섯과 청경채를 볶는다.
5. 5. 물 전분을 넣어 농도를 맞춘다.
6. 6. 참기름을 뿌려 완성한다.",,https://www.foodsafetykorea.go.kr/recipe/1047,/한식/반찬,"열량 83kcal, 탄수화물 10.9g, 단백질 2.6g, 지방 4.4g, 나트륨 14mg",조리방법: 볶기,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053827_1416213507603.jpg,foodsafety,1047
딸기연두부쉐이크,,기타,,1,1인분,"딸기 100g, 연두부 50g, 바나나 50g, 올리고당 10g","1. 1. 딸기를 깨끗이 씻는다.
2. 2. 딸기의 꼭지를 뗀다.
3. 3. 딸기, 바나나를 잘게 썰어 믹서에 넣는다.
4. 4. 연두부를 믹서에 넣고 함께 간다.
5. 5. 올리고당을 넣는다.
6. 6. 컵에 담아 완성한다.",,https://www.foodsafetykorea.go.kr/recipe/772,/한식/후식,"열량 121kcal, 탄수화물 25.3g, 단백질 4g, 지방 1.5g, 나트륨 5.5mg, TIP: 적당히 씹히는 맛을 느끼려면 재료를 완전히 갈지 않고 건더기를 약간 남긴다.",조리방법: 기타,http://www.foodsafetykorea.go.kr/uploadimg/20141118/20141118102045_1416273645494.jpg,foodsafety,772
봄주먹밥,,끓이기,,1,1인분,"재료 1인분 봄동 10g, 깻잎 6g, 낙지다리 6g, 참기름 3g 두릎 8g, 올리브유 4g, 미나리 3g 주먹밥 데친꼬막살 12g, 올리브유 4g, 밥 100g, 참깨 3g 두부강된장 참기름 10g, 다진양파 14g, 다진당근 14g, 다진애호박 14g, 물 150g, 된장 14g, 고춧가루 4g, 다진마늘 4g, 붉은고추 4g","1. 1. 봄동과 깻잎은 데친 뒤 체에 밭쳐 물기를 제거한다.
2. 2. 데친 꼬막살은 물기를 제거하고 다져 올리브유로 양념한 밥에 참께와 함께 버무린 후 한입 크기로 주먹밥을 만든다.
3. 3. 낙지 다리는 데처 찬물에 담가 식힌 뒤 참기름(3g)에 양념하고, 두릅은 데쳐 물기를 제거한 뒤 올리브유로 양념한다.
4. 4. 봄동에 꼬막밥을 넣고 만 뒤 껫잎으로 싸고 데친 미나리로 묶어 봄주먹밥을 만든다.
5. 5. 냄비에 참기름을 두르고 양파, 당근, 애호박을 볶은 뒤 물, 된장, 고춧가루, 다진마늘, 붉은고추, 청양고추, 두부를 넣고 조려 두부강된장을 만든다.
6. 6. 봄주먹밥에 낙지와 두릅, 두부강된장을 곁들여 마무리한다.",,https://www.foodsafetykorea.go.kr/recipe/774,/한식/밥,"열량 252.4kcal, 탄수화물 19.63g, 단백질 4.29g, 지방 2.12g, 나트륨 118.1mg, TIP: 주먹밥에 소스를 넣지 않고 찍어 먹을 수 있도록 하여 나트륨 섭취를 줄일 수 있다. 또한 강된장에 두부를 넣어 나트륨 함량을 줄였다.",조리방법: 끓이기,http://www.foodsafetykorea.go.kr/uploadimg/20160318/20160318051200_1458288720482.png,foodsafety,774
구운 주먹밥,,굽기,,1,1인분,"현미(100g), 톳(30g), 생김(5g), 달걀(50g), 밥 밑간 참기름(4g), 참깨(2g), 톳 무침양념 설탕(2g), 식초(2g)","1. 1. 현미로 밥을 지은 뒤 밥 밑간을 넣고 섞는다.
2. 2. 톳에 톳 무침양념을 넣고 버무린다.
3. 3. 밥에 톳을 넣고 버무린다.
4. 4. 밥을 먹기 좋은 크기로 둥글게 뭉친 뒤 부순 생김을 골고루 묻힌다.
5. 5. 주먹밥을 달걀물을 입힌다.
6. 6. 팬에 구워 마무리한다.",,https://www.foodsafetykorea.go.kr/recipe/775,/한식/밥,"열량 335.1kcal, 탄수화물 35.43g, 단백질 5.79g, 지방 6.84g, 나트륨 79.4mg, TIP: 현미밥과 톳을 넣어 만든 주먹밥에 달걀물을 입혀 구워낸 별미",조리방법: 굽기,http://www.foodsafetykorea.go.kr/uploadimg/20160503/20160503104705_1462240025010.jpg,foodsafety,775
깻잎장아찌롤,,끓이기,,1,1인분,"쌀(200g), 깻잎장아찌(30g), 김(5g), 새싹(20g), 밥 밑간 참기름(5g), 참깨(3g), 허브타르타르드레싱 양파(20g), 피클(20g), 삶은달걀(60g), 마요네즈(20g), 머스터드소스 설탕(3g), 물(5g), 머스터드조스(1.5g)","1. 1. 쌀을 씻어 밥을 지은 뒤 밥 밑간을 한다.
2. 2. 양파, 피클, 삶은 달걀은 다진 뒤 마요네즈에 섞어 허브타르타르드레싱을 만든다.
3. 3. 김 위에 밥을 펴고 허브타르타르드레싱을 위에 올리 후 만다.
4. 4. 깻잎장아찌를 바닥에 깔고 말아놓은 롤을 올린 후 한 번 더 만다.
5. 5. 머스트드소스를 만든다.
6. 6. 한입 크기로 롤을 썬 뒤 새싹과 소스를 곁들여 마무리한다.",,https://www.foodsafetykorea.go.kr/recipe/776,/한식/밥,"열량 375.2kcal, 탄수화물 18.4g, 단백질 2.6g, 지방 3.4g, 나트륨 750.7mg, TIP: 삶은 달걀과 양파로 속을 만들어 밥과 깻잎장아찌로 롤을 만들어 나트륨을 줄인 일품요리",조리방법: 끓이기,http://www.foodsafetykorea.go.kr/uploadimg/20160603/20160603011759_1464927479016.jpg,foodsafety,776
롤 삼계탕,,끓이기,,1,1인분,"●주재료: 마 30g(1/3개), 대추20g(10개), 은행35g(25개), 단호박 40g(1/8개), 아스파라거스 15g(1/3개), 영콘 20g(1개), 마늘 10g(2개), 쌀 200g(1컴)
●육수 : 닭 550g(1마리), 파 15g(1큰술), 마늘 15(3개)","1. 1. 닭은 살을 발라낸다.
2. 2. 남은 뼈는 파, 마늘을 넣고 육수를 만든다.
3. 3. 마와 단호박은 1x1x5cm로 썬다.
4. 4. 마늘, 아스파라거스, 영콘은 굽는다.
5. 5. 닭에 마, 대추, 쌀, 단호박, 은행을 넣고 랩으로 감싸 만다.
6. 6. 곁들일 단호박과 찜통에 찐다.",,https://www.foodsafetykorea.go.kr/recipe/777,/한식/국&찌개,"열량 103.4kcal, 탄수화물 4.3g, 단백질 11.9g, 지방 4.3g, 나트륨 50.2mg, TIP: 국물에 별도로 소금 간을 하지 않고 단맛이 있는 단호박을 사용하여 짠맛이 부각되도록 한다.",조리방법: 끓이기,http://www.foodsafetykorea.go.kr/uploadimg/20160708/20160708060607_1467968767734.jpg,foodsafety,777
효종갱(曉鍾羹),,끓이기,,1,1인분,"재료: 배추(20g), 무(10g), 느타리버섯(20g) 육수: 쇠고기(양지 50g, 갈비 50g), 양파(40g), 마늘(10g), 물(300g) 양념: 저염간장(10g)","1. 1. 소고기는 핏물을 제거한 뒤 양파, 마늘을 넣고 물(300g)을 부어 1시간 이상 끓인 뒤 면포에 걸러 육수를 만든다.
2. 2. 삶은 소고기는 건져내 결 반대 방향으로 썬다.
3. 3. 배추, 무, 느타리버섯, 표고버섯은 먹기 좋은 크기로 썬다.
4. 4. 전복은 깨끗이 손질한다.
5. 5. 육수를 끓인 뒤 끓어오르면 무를 넣어 반투명해지면 배추, 버섯, 전복을 넣는다.
6. 6. 전복이 익으면 소고기를 넣고 저염간장으로 간을 해 마무리한다.",,https://www.foodsafetykorea.go.kr/recipe/779,/한식/국&찌개,"열량 186.1kcal, 탄수화물 0.99g, 단백질 4.95g, 지방 1.69g, 나트륨 220.6mg, TIP: 저염간장으로 간을 해 염도를 낮춘 대신 쇠고기와 전복으로 깊은 맛을 더했다.",조리방법: 끓이기,http://www.foodsafetykorea.go.kr/uploadimg/20160913/20160913012533_1473740733647.jpg,foodsafety,779
갯벌의 여왕 모시조개의 달콤한 유혹,,끓이기,,1,1인분,"바지락(모시조개( 200g(30개), 양파 15g(2*4cm), 마늘 10g(2쪽), 마른 홍고추 1g(1/5개), 올리브유 15g(1큰술), 호이트와인 15ml(1큰술), 쳥양고추 3g(1/3개), 저염치즈 10g(2작은술), 후추 약간, 바질 약간","1. 1. 양파는 잘게 썰고 청양고추는 어슷썰기를 한다.
2. 2. 마늘은 편으로 썰고 마른 홍고추도 둥글게 썰어 준비한다.
3. 3. 조개는 흐르는 물에 여러 번 씻어 해감을 시킨 후 물기를 제거한다.
4. 4. 달궈진 팬에 올리브오일을 두르고 마늘, 마른홍고추, 양파를 넣어 볶아 향을 낸 후, 센불로 불을 키우고 모시조개를 넣는다.
5. 5. 조개가 입을 벌리면 바질과 화이트와인을 넣어 잡내를 없앤다.
6. 6. 한소끔 끓여낸 후 붕간 불로 줄이고 저염치즈, 청양고추, 후추를 넣어 칼칼한 맛을 낸다.",,https://www.foodsafetykorea.go.kr/recipe/781,/한식/반찬,"열량 155kcal, 탄수화물 7g, 단백질 11g, 지방 9g, 나트륨 760mg, TIP: 조개 자체의 맛에 마늘, 고추, 양파, 저염치즈가 어우러져 소금 없이도 맛있는 조개찜 요리가 가능해요. 동일한 조리법으로 홍합이나 중합을 사용하여도 자연식품을 이용한 저나트륨 조개찜 요리를 만들 수 있어요.",조리방법: 끓이기,http://www.foodsafetykorea.go.kr/uploadimg/20161205/20161205092004_1480940404421.jpg,foodsafety,781
고구마 타락죽,,끓이기,,1,1인분,"고구마 20g, 양송이버섯 15g, 양파 10g, 느타리버섯 7g, 현미(불린것) 30g, 저지방우유 130g, 식용유 20g, 물 100g","1. 1. 고구마는 껍질을 벗겨 1cm 크기로 깍둑썰기 한 뒤 삶는다.
2. 2. 양송이버섯과 양파는 굵게 다지고 느타리버섯은 데친다.
3. 3. 냄비에 식용유를 넣어 양파, 고구마, 양송이버섯 순으로 볶는다.
4. 4. 현미 1/2공기와 물 1/2컵을 넣어 믹서에 굵게 간다.
5. 5. 3에 4와 나머지 우유를 넣어 끓인다.
6. 6. 5를 그릇에 담고 고구마, 데친 느타리버섯을 가운데 담는다.",,https://www.foodsafetykorea.go.kr/recipe/782,/한식/밥,"열량 362.9kcal, 탄수화물 37.2g, 단백질 7.2g, 지방 21.4g, 나트륨 161mg, TIP: 고구마나 현미는 소금을 첨가하지 않고도 먹을 수 있으므로 저나트륨에 사용이 가능하다.",조리방법: 끓이기,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053334_1416213214596.jpg,foodsafety,782
두부 채소 볶음밥,,굽기,,1,1인분,"밥 150g, 두부 70g, 표고버섯(마른것) 10g, 당근 5g, 감자 5g, 청피망 5g, 홍피망 5g, 오이 10g, 애호박 10g, 소금 0.2g [소스소개] 간장 2g, 청고추 0.5g, 홍고추 0.5g, 통깨 0.2g, 참기름 2g, 다시마물 5g","1. 1. 두부는 으깨서 소창을 이용하여 물기를 짠다.
2. 2. 후라이팬에 납작하게 펴서 노릇하게 굽는다.
3. 3. 구워진 두부를 대충 부서뜨린 후 간장을 넣어서 볶는다.
4. 4. 당근, 감자, 피망, 애호박, 불린 표고버섯, 오이는 작은 정육면체로 썰어 각각 소금간 해서 볶는다.
5. 5. 팬에 감자, 표고버섯, 두부, 밥을 넣고 볶다가 나머지 채소를 넣어 볶는다.
6. 6. 양념장을 만들어 함께 낸다.",,https://www.foodsafetykorea.go.kr/recipe/784,/한식/밥,"열량 322kcal, 탄수화물 60.3g, 단백질 13.5g, 지방 6.5g, 나트륨 213mg",조리방법: 굽기,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053336_1416213216938.jpg,foodsafety,784
